=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.09.30 20:08:17 =~=~=~=~=~=~=~=~=~=~=~=
[INFO icm42605::app]: X: -0.04345703, Y: 0.013183594, Z: -0.025033714
[INFO icm42605::app]: X: -0.045410156, Y: 0.0107421875, Z: -0.023968449
[INFO icm42605::app]: X: -0.045898438, Y: 0.01171875, Z: -0.023968449
[INFO icm42605::app]: X: -0.045898438, Y: 0.011230469, Z: -0.025566347
[INFO icm42605::app]: X: -0.044433594, Y: 0.011230469, Z: -0.022903185
[INFO icm42605::app]: X: -0.04248047, Y: 0.010253906, Z: -0.025566347
[INFO icm42605::app]: X: -0.044921875, Y: 0.0126953125, Z: -0.025566347
[INFO icm42605::app]: X: -0.044921875, Y: 0.011230469, Z: -0.022370553
[INFO icm42605::app]: X: -0.045410156, Y: 0.01171875, Z: -0.023435818
[INFO icm42605::app]: X: -0.04345703, Y: 0.011230469, Z: -0.023968449
[INFO icm42605::app]: X: -0.04248047, Y: 0.01171875, Z: -0.023435818
[INFO icm42605::app]: X: -0.045898438, Y: 0.011230469, Z: -0.023968449
[INFO icm42605::app]: X: -0.044433594, Y: 0.009277344, Z: -0.023968449
[INFO icm42605::app]: X: -0.044921875, Y: 0.011230469, Z: -0.023968449
[INFO icm42605::app]: X: -0.045898438, Y: 0.009277344, Z: -0.024501082
[INFO icm42605::app]: X: -0.044433594, Y: 0.009765625, Z: -0.023435818
[INFO icm42605::app]: X: -0.043945313, Y: 0.013183594, Z: -0.025033714
[INFO icm42605::app]: X: -0.045410156, Y: 0.011230469, Z: -0.023435818
[INFO icm42605::app]: X: -0.045410156, Y: 0.01171875, Z: -0.025566347
[INFO icm42605::app]: X: -0.044921875, Y: 0.012207031, Z: -0.023435818
[INFO icm42605::app]: X: -0.04638672, Y: 0.013183594, Z: -0.022903185
[INFO icm42605::app]: X: -0.04345703, Y: 0.012207031, Z: -0.023435818
[INFO icm42605::app]: X: -0.04248047, Y: 0.009765625, Z: -0.025033714
[INFO icm42605::app]: X: -0.045898438, Y: 0.013671875, Z: -0.025033714
[INFO icm42605::app]: X: -0.04248047, Y: 0.010253906, Z: -0.024501082
[INFO icm42605::app]: X: -0.043945313, Y: 0.009765625, Z: -0.023968449
[INFO icm42605::app]: X: -0.044433594, Y: 0.0107421875, Z: -0.024501082
[INFO icm42605::app]: X: -0.044921875, Y: 0.013671875, Z: -0.022370553
[INFO icm42605::app]: X: -0.044921875, Y: 0.013183594, Z: -0.023968449
[INFO icm42605::app]: X: -0.045410156, Y: 0.0087890625, Z: -0.025033714
[INFO icm42605::app]: X: -0.045410156, Y: 0.01171875, Z: -0.02183792
[INFO icm42605::app]: X: -0.045898438, Y: 0.010253906, Z: -0.024501082
[INFO icm42605::app]: X: -0.045898438, Y: 0.0107421875, Z: -0.024501082
[INFO icm42605::app]: X: -0.044433594, Y: 0.009765625, Z: -0.024501082
[INFO icm42605::app]: X: -0.043945313, Y: 0.010253906, Z: -0.025033714
[INFO icm42605::app]: X: -0.044921875, Y: 0.01171875, Z: -0.023968449
[INFO icm42605::app]: X: -0.045410156, Y: 0.010253906, Z: -0.025566347
[INFO icm42605::app]: X: -0.045898438, Y: 0.0126953125, Z: -0.024501082
[INFO icm42605::app]: X: -0.044921875, Y: 0.010253906, Z: -0.024501082
[INFO icm42605::app]: X: -0.043945313, Y: 0.012207031, Z: -0.024501082
[INFO icm42605::app]: X: -0.044921875, Y: 0.010253906, Z: -0.024501082
[INFO icm42605::app]: X: -0.044433594, Y: 0.0126953125, Z: -0.024501082
[INFO icm42605::app]: X: -0.043945313, Y: 0.011230469, Z: -0.025566347
[INFO icm42605::app]: X: -0.045410156, Y: 0.012207031, Z: -0.026098978
[INFO icm42605::app]: X: -0.044433594, Y: 0.012207031, Z: -0.022903185
[INFO icm42605::app]: X: -0.04345703, Y: 0.010253906, Z: -0.023435818
[INFO icm42605::app]: X: -0.044921875, Y: 0.01171875, Z: -0.024501082
[INFO icm42605::app]: X: -0.045898438, Y: 0.01171875, Z: -0.024501082
[INFO icm42605::app]: X: -0.043945313, Y: 0.012207031, Z: -0.023968449
[INFO icm42605::app]: X: -0.04345703, Y: 0.012207031, Z: -0.023968449
[INFO icm42605::app]: X: -0.043945313, Y: 0.0087890625, Z: -0.025033714
[INFO icm42605::app]: X: -0.043945313, Y: 0.01171875, Z: -0.025566347
[INFO icm42605::app]: X: -0.044921875, Y: 0.013183594, Z: -0.022903185
[INFO icm42605::app]: X: -0.04296875, Y: 0.0107421875, Z: -0.023968449
[INFO icm42605::app]: X: -0.043945313, Y: 0.0087890625, Z: -0.024501082
[INFO icm42605::app]: X: -0.045898438, Y: 0.012207031, Z: -0.024501082
[INFO icm42605::app]: X: -0.04345703, Y: 0.0087890625, Z: -0.025033714
[INFO icm42605::app]: X: -0.044433594, Y: 0.0087890625, Z: -0.025033714
[INFO icm42605::app]: X: -0.044433594, Y: 0.01171875, Z: -0.024501082
[INFO icm42605::app]: X: -0.04638672, Y: 0.013183594, Z: -0.024501082
[INFO icm42605::app]: X: -0.041992188, Y: 0.013183594, Z: -0.025566347
[INFO icm42605::app]: X: -0.045898438, Y: 0.012207031, Z: -0.025033714
[INFO icm42605::app]: X: -0.044921875, Y: 0.012207031, Z: -0.024501082
[INFO icm42605::app]: X: -0.043945313, Y: 0.011230469, Z: -0.025033714
[INFO icm42605::app]: X: -0.04345703, Y: 0.01171875, Z: -0.024501082
[INFO icm42605::app]: X: -0.045410156, Y: 0.012207031, Z: -0.023968449
[INFO icm42605::app]: X: -0.04296875, Y: 0.012207031, Z: -0.023968449
[INFO icm42605::app]: X: -0.04345703, Y: 0.009277344, Z: -0.024501082
[INFO icm42605::app]: X: -0.044433594, Y: 0.013183594, Z: -0.023968449
[INFO icm42605::app]: X: -0.044433594, Y: 0.0107421875, Z: -0.023968449
[INFO icm42605::app]: X: -0.044921875, Y: 0.01171875, Z: -0.023968449
[INFO icm42605::app]: X: -0.04736328, Y: 0.013183594, Z: -0.023435818
[INFO icm42605::app]: X: -0.044921875, Y: 0.012207031, Z: -0.023435818
[INFO icm42605::app]: X: -0.046875, Y: 0.013671875, Z: -0.024501082
[INFO icm42605::app]: X: -0.045898438, Y: 0.0146484375, Z: -0.023435818
[INFO icm42605::app]: X: -0.043945313, Y: 0.010253906, Z: -0.023435818
[INFO icm42605::app]: X: -0.04296875, Y: 0.012207031, Z: -0.024501082
[INFO icm42605::app]: X: -0.046875, Y: 0.0126953125, Z: -0.025033714
[INFO icm42605::app]: X: -0.044433594, Y: 0.0107421875, Z: -0.023435818
[INFO icm42605::app]: X: -0.044921875, Y: 0.0107421875, Z: -0.025033714
[INFO icm42605::app]: X: -0.046875, Y: 0.009277344, Z: -0.025033714
[INFO icm42605::app]: X: -0.04345703, Y: 0.011230469, Z: -0.023435818
[INFO icm42605::app]: X: -0.044921875, Y: 0.012207031, Z: -0.025033714
[INFO icm42605::app]: X: -0.045410156, Y: 0.011230469, Z: -0.022903185
[INFO icm42605::app]: X: -0.043945313, Y: 0.011230469, Z: -0.025033714
[INFO icm42605::app]: X: -0.04345703, Y: 0.01171875, Z: -0.023435818
[INFO icm42605::app]: X: -0.044921875, Y: 0.0107421875, Z: -0.025033714
[INFO icm42605::app]: X: -0.045898438, Y: 0.012207031, Z: -0.022903185
[INFO icm42605::app]: X: -0.044921875, Y: 0.009765625, Z: -0.025033714
[INFO icm42605::app]: X: -0.045898438, Y: 0.010253906, Z: -0.026098978
[INFO icm42605::app]: X: -0.044921875, Y: 0.014160156, Z: -0.023435818
[INFO icm42605::app]: X: -0.044433594, Y: 0.012207031, Z: -0.026098978
[INFO icm42605::app]: X: -0.044921875, Y: 0.01171875, Z: -0.024501082
[INFO icm42605::app]: X: -0.043945313, Y: 0.009277344, Z: -0.025033714
[INFO icm42605::app]: X: -0.044433594, Y: 0.013671875, Z: -0.024501082
[INFO icm42605::app]: X: -0.045410156, Y: 0.012207031, Z: -0.023968449
[INFO icm42605::app]: X: -0.044921875, Y: 0.011230469, Z: -0.022903185
[INFO icm42605::app]: X: -0.04296875, Y: 0.009765625, Z: -0.025566347
[INFO icm42605::app]: X: -0.045898438, Y: 0.013183594, Z: -0.023435818
[INFO icm42605::app]: X: -0.043945313, Y: 0.012207031, Z: -0.024501082
[INFO icm42605::app]: X: -0.043945313, Y: 0.0107421875, Z: -0.02663161
[INFO icm42605::app]: X: -0.044921875, Y: 0.0107421875, Z: -0.023435818
[INFO icm42605::app]: X: -0.045898438, Y: 0.01171875, Z: -0.023968449
[INFO icm42605::app]: X: -0.044921875, Y: 0.010253906, Z: -0.023968449
[INFO icm42605::app]: X: -0.044433594, Y: 0.009765625, Z: -0.023968449
[INFO icm42605::app]: X: -0.04345703, Y: 0.009765625, Z: -0.023968449
[INFO icm42605::app]: X: -0.045410156, Y: 0.011230469, Z: -0.023435818
[INFO icm42605::app]: X: -0.044921875, Y: 0.0107421875, Z: -0.024501082
[INFO icm42605::app]: X: -0.045410156, Y: 0.010253906, Z: -0.024501082
[INFO icm42605::app]: X: -0.044921875, Y: 0.0087890625, Z: -0.024501082
[INFO icm42605::app]: X: -0.044921875, Y: 0.009277344, Z: -0.022903185
[INFO icm42605::app]: X: -0.044921875, Y: 0.012207031, Z: -0.023968449
[INFO icm42605::app]: X: -0.044433594, Y: 0.012207031, Z: -0.023435818
[INFO icm42605::app]: X: -0.044921875, Y: 0.011230469, Z: -0.024501082
[INFO icm42605::app]: X: -0.044921875, Y: 0.011230469, Z: -0.025033714
[INFO icm42605::app]: X: -0.037109375, Y: 0.011230469, Z: -0.024501082
[INFO icm42605::app]: X: -0.04345703, Y: 0.009277344, Z: -0.024501082
[INFO icm42605::app]: X: -0.048339844, Y: 0.014160156, Z: -0.023435818
[INFO icm42605::app]: X: -0.045410156, Y: 0.01171875, Z: -0.025033714
[INFO icm42605::app]: X: -0.045898438, Y: 0.010253906, Z: -0.024501082
[INFO icm42605::app]: X: -0.044433594, Y: 0.0107421875, Z: -0.024501082
[INFO icm42605::app]: X: -0.044921875, Y: 0.009765625, Z: -0.022903185
[INFO icm42605::app]: X: -0.044921875, Y: 0.01171875, Z: -0.024501082
[INFO icm42605::app]: X: -0.04638672, Y: 0.0146484375, Z: -0.025033714
[INFO icm42605::app]: X: -0.043945313, Y: 0.0078125, Z: -0.022903185
[INFO icm42605::app]: X: -0.045410156, Y: 0.013183594, Z: -0.023968449
[INFO icm42605::app]: X: -0.045898438, Y: 0.011230469, Z: -0.025033714
[INFO icm42605::app]: X: -0.04345703, Y: 0.012207031, Z: -0.025566347
[INFO icm42605::app]: X: -0.04248047, Y: 0.012207031, Z: -0.025566347
[INFO icm42605::app]: X: -0.045410156, Y: 0.011230469, Z: -0.024501082
[INFO icm42605::app]: X: -0.041992188, Y: 0.009765625, Z: -0.026098978
[INFO icm42605::app]: X: -0.044433594, Y: 0.0126953125, Z: -0.024501082
[INFO icm42605::app]: X: -0.045410156, Y: 0.0146484375, Z: -0.026098978
[INFO icm42605::app]: X: -0.04248047, Y: 0.013183594, Z: -0.024501082
[INFO icm42605::app]: X: -0.04248047, Y: 0.01171875, Z: -0.024501082
[INFO icm42605::app]: X: -0.04296875, Y: 0.01171875, Z: -0.023435818
[INFO icm42605::app]: X: -0.041503906, Y: 0.01171875, Z: -0.022370553
[INFO icm42605::app]: X: -0.04248047, Y: 0.012207031, Z: -0.023968449
[INFO icm42605::app]: X: -0.041503906, Y: 0.0126953125, Z: -0.024501082
[INFO icm42605::app]: X: -0.04296875, Y: 0.015136719, Z: -0.022903185
[INFO icm42605::app]: X: -0.04296875, Y: 0.015136719, Z: -0.025566347
[INFO icm42605::app]: X: -0.04248047, Y: 0.011230469, Z: -0.025033714
[INFO icm42605::app]: X: -0.04345703, Y: 0.013183594, Z: -0.022903185
[INFO icm42605::app]: X: -0.041015625, Y: 0.0107421875, Z: -0.024501082
[INFO icm42605::app]: X: -0.043945313, Y: 0.0126953125, Z: -0.024501082
[INFO icm42605::app]: X: -0.041503906, Y: 0.01171875, Z: -0.022370553
[INFO icm42605::app]: X: -0.040039063, Y: 0.014160156, Z: -0.023968449
[INFO icm42605::app]: X: -0.041992188, Y: 0.011230469, Z: -0.023968449
[INFO icm42605::app]: X: -0.041503906, Y: 0.0146484375, Z: -0.023435818
[INFO icm42605::app]: X: -0.04345703, Y: 0.0126953125, Z: -0.023968449
[INFO icm42605::app]: X: -0.03955078, Y: 0.013671875, Z: -0.024501082
[INFO icm42605::app]: X: -0.04248047, Y: 0.014160156, Z: -0.023435818
[INFO icm42605::app]: X: -0.041503906, Y: 0.0146484375, Z: -0.025566347
[INFO icm42605::app]: X: -0.041503906, Y: 0.01171875, Z: -0.023968449
[INFO icm42605::app]: X: -0.041015625, Y: 0.01171875, Z: -0.023968449
[INFO icm42605::app]: X: -0.041503906, Y: 0.0126953125, Z: -0.023435818
[INFO icm42605::app]: X: -0.041503906, Y: 0.013671875, Z: -0.022903185
[INFO icm42605::app]: X: -0.041503906, Y: 0.012207031, Z: -0.025566347
[INFO icm42605::app]: X: -0.03955078, Y: 0.01171875, Z: -0.024501082
[INFO icm42605::app]: X: -0.041992188, Y: 0.012207031, Z: -0.024501082
[INFO icm42605::app]: X: -0.041992188, Y: 0.015625, Z: -0.025566347
[INFO icm42605::app]: X: -0.041992188, Y: 0.013183594, Z: -0.024501082
[INFO icm42605::app]: X: -0.04248047, Y: 0.0126953125, Z: -0.025566347
[INFO icm42605::app]: X: -0.04296875, Y: 0.012207031, Z: -0.025033714
[INFO icm42605::app]: X: -0.041992188, Y: 0.014160156, Z: -0.025033714
[INFO icm42605::app]: X: -0.04296875, Y: 0.014160156, Z: -0.026098978
[INFO icm42605::app]: X: -0.04296875, Y: 0.012207031, Z: -0.025033714
[INFO icm42605::app]: X: -0.041015625, Y: 0.0126953125, Z: -0.022903185
[INFO icm42605::app]: X: -0.04248047, Y: 0.01171875, Z: -0.023968449
[INFO icm42605::app]: X: -0.04296875, Y: 0.013671875, Z: -0.023968449
[INFO icm42605::app]: X: -0.041503906, Y: 0.012207031, Z: -0.025033714
[INFO icm42605::app]: X: -0.04296875, Y: 0.013183594, Z: -0.023435818
[INFO icm42605::app]: X: -0.04296875, Y: 0.01171875, Z: -0.025033714
[INFO icm42605::app]: X: -0.044921875, Y: 0.014160156, Z: -0.023435818
[INFO icm42605::app]: X: -0.04248047, Y: 0.0146484375, Z: -0.023968449
[INFO icm42605::app]: X: -0.04248047, Y: 0.013671875, Z: -0.022903185
[INFO icm42605::app]: X: -0.041015625, Y: 0.013183594, Z: -0.023435818
[INFO icm42605::app]: X: -0.04248047, Y: 0.012207031, Z: -0.024501082
[INFO icm42605::app]: X: -0.04345703, Y: 0.014160156, Z: -0.023968449
[INFO icm42605::app]: X: -0.04296875, Y: 0.012207031, Z: -0.023968449
[INFO icm42605::app]: X: -0.04248047, Y: 0.01171875, Z: -0.023968449
[INFO icm42605::app]: X: -0.04248047, Y: 0.012207031, Z: -0.024501082
[INFO icm42605::app]: X: -0.04248047, Y: 0.01171875, Z: -0.022903185
